Date,AUSTRIA,BELGIUM,FINLAND,FRANCE,GERMANY,GREECE,IRELAND,ITALY,NETHERLANDS,NORWAY,SPAIN,SWEDEN,SWITZERLAND,UNITED KINGDOM,CANADA,USA,JAPAN,AUSTRALIA,NEW ZEALAND,PORTUGAL,CZECH REPUBLIC,HUNGARY,POLAND,RUSSIA,BRAZIL,CHILE,COLOMBIA,MEXICO,PERU,ISRAEL,TURKEY,CHINA,INDIA,KOREA,MALAYSIA,PHILIPPINES,THAILAND,EGYPT,SOUTH AFRICA
2000-01-31,-0.07466057236710599,-0.1604498935009611,0.00024193113791337573,-0.0581182569241873,-0.02986534278376058,-0.10276192814616746,-0.04876663876903424,-0.043129007723027524,-0.10985311350490976,-0.059767634921335126,-0.052340801686329166,0.00938732559636021,-0.08324930464177828,-0.07085065435577213,0.007912292792007057,-0.044883729262076476,-0.04831657437728,-0.04093157612085677,-0.11099203313372198,0.016776433068614163,0.1156371749473915,0.06415396952686456,0.050134586921678805,-0.037402037199171456,-0.026683503325077584,0.06199704152481795,0.05219929230053984,-0.09094176017805794,0.06865384726733717,0.03511007504431408,0.06358697407953816,-0.07857331295598866,0.09136571651084795,-0.0858685939380963,0.13681890454520526,-0.10744278902473238,-0.02064767824911575,0.09312527462949986,-0.029520760832027156
2000-02-29,-0.04329954691951981,0.0042724825683273905,0.0720138474941538,0.08214760218812855,0.10392863781211342,-0.0753019005297381,0.0256800072127865,0.17515736518893166,0.07595631781342654,0.014331658462929688,0.14037398553157254,0.19309923274808186,-0.0064970988482514775,-0.01039498122519423,0.08363122595580978,0.023838596019226176,-0.006636534485261593,-0.023389514541495838,-0.040909208930366425,0.16165936475275605,0.14396636618437994,0.09134565657461158,0.18309216315591537,0.0036492707004602463,0.03778395571918755,-0.02226946620592673,-0.09571734825797366,0.114793608691771,0.057990724084870306,0.25641513078618905,-0.11089117431903259,-0.18847354716096307,0.11374036805960168,-0.08447496223781578,0.08704551461240329,-0.14547515076195042,-0.23872708639812235,-0.02820789661644764,-0.05437735668288542
2000-03-31,0.016294795430133874,0.0018792886150398886,0.0239172695796112,0.0006327399181725446,-0.011663377540603507,-0.10232096579979454,0.09243098896369012,-0.07327824469879335,0.007346001409987518,-0.00044574148675821033,-0.049037430871873934,-0.044950795042730134,0.07325740718411908,0.051898796991415176,0.03288615906627494,0.0607760003840585,0.05698292358764628,-0.0004700904924198086,0.07580211008322772,-0.09217513890040632,-0.014150912161043609,-0.025978553730757102,-0.008598314285978827,0.3140444719508423,0.03832453252758496,-0.0034115618204992823,-0.02492851713779009,0.03217762322554086,-0.06651405511427942,-0.09698587747790843,-0.028749850535509918,0.03991557023546666,-0.11556514353061505,0.029608706661828434,-0.005185613737439751,-0.006897366520565604,0.1090405753833627,-0.00023245955887374583,-0.04233577698815338
2000-04-28,-0.04468971812209509,-0.040335904238219256,0.01622475716647405,-0.03895316058517993,-0.06827830080085452,-0.1939418685539727,-0.08379184528516519,-0.06467891132090574,-0.0457258656412989,-0.08111905763567515,-0.08253364367829677,-0.02295648453633697,-0.038134165098935545,-0.05388721155919764,-0.03426232209168218,-0.05383414339018618,-0.09082340060404444,-0.051324532806014386,-0.041305973368611804,-0.09784370073058055,-0.11002297182928301,-0.17712268166985803,-0.15939619775177358,-0.024482758620689667,-0.12399706207755747,-0.0568955552591711,-0.04843125063798586,-0.10428811017280994,-0.03047526045238347,-0.06275859459663964,0.15111877135206675,0.1015652875835726,-0.17903702300603816,-0.1817649370570859,-0.0875445982588839,-0.05061585867505344,-0.05383406831674928,-0.09814467817381087,-0.09722967407485766
2000-05-31,0.04035603831937836,0.04010579914475149,-0.09297029550347613,0.020259764343385292,-0.021633526447657404,0.16142540346032191,-0.059266033930334375,0.021360782060529084,0.018312562533606594,0.041635762620296835,-0.047226328884401494,-0.0422541615860848,0.05360677182878451,-0.038623315383081114,-0.01858802408411591,-0.03510222782777044,-0.07580333097349133,-0.03709532036355446,-0.08210276063267315,-0.00791387885366201,-0.018845567480263746,0.017150072637589137,0.0078103011539543315,-0.1267620205364302,-0.03527307847424164,0.00040250058018098016,-0.1398256324237874,-0.09564030337648625,-0.09808514972499494,0.03443274563769699,-0.16459962236813133,0.1184192011044884,-0.10994353255479772,-0.003278424373133011,0.0004750863171230395,-0.11978623405182832,-0.20951664131930434,-0.017391271378903707,-0.03125196187988906
2000-06-30,0.03483299497293126,0.06096174312440485,-0.004202275732282459,0.04256367773664846,0.005736327605424238,-0.09989403220387175,0.023294144915592493,0.052109557342057515,0.053919651898416944,0.08644818734835967,0.02013397418915333,-0.02447267771574259,0.0453324196035353,0.017480360758192166,0.09897944992993077,0.048520410559327175,0.06493376544685389,0.12789459519546936,0.07213736248023755,0.03804183642643109,-0.05856108799163083,-0.028004633531656255,0.0049644113075399485,-0.08240033173390206,0.1336325681941947,-0.04112915795234998,-0.0938846310824905,0.10016371687469501,0.029405859840642527,0.0763237704461071,-0.101088028335373,0.12105012023824492,0.10472794746320797,0.1401488537515,-0.10035389825474028,0.008758245944699527,0.027111833860671487,-0.1544762816110138,0.07504903612688048
2000-07-31,-0.019618261331589566,-0.007407074997294235,-0.1163659905246055,-0.016020934333782624,-0.007786172387296291,-0.05724171595934065,-0.013826320028187568,-0.032788408303186134,-0.03676309706142564,-0.0007524880653774862,-0.027378964941569266,-0.036017506732665405,0.013549262859941546,-6.735845621685942e-05,0.016131858290787195,-0.019967452890049107,-0.12273192324556831,-0.04584107091602615,-0.020328378568897316,-0.03093334906448789,0.060635029578063146,-0.04995557605891295,-0.024798162990697883,0.12432752313320429,0.021995138070075776,-0.04232252211385811,0.0609461606796541,-0.007034342680677331,-0.07546456846480619,-0.016625272901025376,-0.07050031111555695,-0.0036570465378758968,-0.10881718482413381,-0.15181955510473416,-0.033496606027694796,-0.12057491780925386,-0.19604726210462267,-0.08204681218084166,-0.023268617908396363
2000-08-31,-0.03229725625189836,-0.010557920967180097,-0.02751878944108745,-0.01836023680735984,-0.037252189171405055,-0.1488635498362903,0.024394134178903234,-0.0004802800915080688,-0.0010468670528224768,0.07548361498659877,-0.009582114113525018,-0.015322274518163783,-0.013794271125628458,0.021730937638253296,0.0870232663960436,0.07396513179359387,0.0723253599904797,0.0061286546316465865,-0.06312960413214781,-0.04571907453927852,-0.09880670831760505,-0.07765283504111727,-0.07222559672448316,0.20906263457581692,0.028994796414463685,0.017047966401414743,-0.08698728683633265,0.042413211548416166,-0.0018062559741586798,0.12813479778620235,-0.09718895866888225,-0.024120532526269233,0.04834187149792809,-0.026068925609207164,-0.011122498055978848,0.06191389960604554,0.1161993596652507,-0.029654191854915562,0.10386639401258202
2000-09-29,-0.003895720246667291,-0.05446833901803781,-0.08520100998197966,-0.06590095765691652,-0.06254523659726147,0.10045200494722878,0.04815896662971305,-0.05445266869854123,-0.0420899304817504,-0.033572004005450844,-0.0008885318867411674,-0.11646786926277526,-0.03818079405557861,-0.03901646296589972,-0.07432164479655949,-0.048597353103885195,-0.04356907027716895,-0.0601855854298148,-0.0821380384016606,-0.01881420336265613,-0.0883461699563185,-0.060987023622661354,-0.109039253484641,-0.15545230764359946,-0.05911014114270689,-0.022040417134008384,-0.005838435505954847,-0.06252903391160877,-0.06188045251319173,-0.001795204306622776,-0.16606559463702325,-0.09429331196111183,-0.10459849125775522,-0.11892352228578225,-0.1145941523391779,-0.08096332716088796,-0.16116126421316823,-0.0907335017188645,-0.05787831687707564
2000-10-31,-0.058738484921502875,-0.030561193452837736,-0.011254689453939239,-0.029861062081727754,-0.02094510975431944,-0.15633504256828307,-0.02473639958525092,-0.0047997345004252585,-0.013499682633607736,-0.025007790588968584,-0.08509132759541621,-0.07467764850522184,-0.013134540291089769,-0.0005432938440913667,-0.07322721452405999,-0.0195015282160873,-0.0748117927724712,-0.05084323495592176,-0.052802026324121426,-0.10384344490556639,-0.0033943440102017363,-0.045776640312307014,-0.1005751558091644,-0.03661633911584706,-0.07917810906237734,-0.03394263127817638,-0.06065015721227545,-0.003818978700863779,-0.05255154838755078,-0.1480620073457446,0.17432132863320857,-0.05541916045274096,-0.09020402940858038,-0.18576143681885787,0.034123665560355516,-0.17982774073568006,-0.048375970714572815,-0.059652800081137373,-0.07268583907991402
